"id_individu","age","genre","niveau_etudes","langue_domicile","region","departement","milieu","commune","arrondismt","statut_emploi_principal","activite_principale","activite_secondaire","privation_revenus","activite_principale_isic_section","activite_principale_isic_libelle","activite_secondaire_isic_section","activite_secondaire_isic_libelle","radio","television","vehicule","ordinateur","telephone","internet","score_actifs","source_eau","assainissement","electricite_acces","electricite_freq","round_afrobarometer","annee_enquete","pays"
168724191,20,"Femme","Aucun enseignement formel",660,"Diourbel",NA,"Rural",15,38,"Chômeur (cherche un emploi)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,0,1,0,0,1,NA,NA,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168724192,65,"Femme","Primaire incomplet",660,"Diourbel",NA,"Urbain",16,39,"Employé à temps plein",4,NA,2,"G","G - Commerce; réparation d'automobiles",NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168724193,50,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Urbain",16,39,"Employé à temps plein",NA,NA,2,NA,NA,NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168725016,59,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Employé à temps plein",6,NA,1,"O","O - Administration publique et défense",NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168725017,30,"Femme","Aucun enseignement formel",660,"Diourbel",NA,"Urbain",16,39,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168725018,20,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Urbain",16,39,"Chômeur (cherche un emploi)",0,NA,3,NA,"Non applicable (sans emploi)",NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168725171,30,"Femme","Aucun enseignement formel",660,"Kaolack",17,"Urbain",33,60,"Employé à temps plein",5,NA,3,"C","C - Industrie manufacturière",NA,NA,0,1,0,0,1,NA,NA,"Fontaine publique",3,"Oui",4,9,2022,"SEN"
168725172,35,"Homme","Secondaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Employé à temps plein",6,NA,0,"O","O - Administration publique et défense",NA,NA,0,1,1,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168725173,18,"Femme","Secondaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Inactif (ne cherche pas)",1,NA,2,NA,"Non applicable (étudiant)",NA,NA,0,1,0,0,1,NA,NA,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168725174,42,"Homme","Secondaire incomplet",660,"Kaolack",17,"Urbain",33,60,"Employé à temps plein",NA,NA,0,NA,NA,NA,NA,1,1,0,0,1,1,4,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168745485,42,"Homme","Secondaire incomplet",666,"Sédhiou",34,"Rural",64,95,"Chômeur (cherche un emploi)",3,NA,4,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,1,0,0,1,0,3,"Source/rivière",2,"Non",NA,9,2022,"SEN"
