"id_individu","age","genre","niveau_etudes","langue_domicile","region","departement","milieu","commune","arrondismt","statut_emploi_principal","activite_principale","activite_secondaire","privation_revenus","activite_principale_isic_section","activite_principale_isic_libelle","activite_secondaire_isic_section","activite_secondaire_isic_libelle","radio","television","vehicule","ordinateur","telephone","internet","score_actifs","source_eau","assainissement","electricite_acces","electricite_freq","round_afrobarometer","annee_enquete","pays"
168658329,60,"Homme","Primaire incomplet",661,"Diourbel",NA,"Rural",15,38,"Employé à temps plein",5,NA,4,"C","C - Industrie manufacturière",NA,NA,1,0,0,0,1,0,2,"Fontaine publique",3,"Non",NA,9,2022,"SEN"
168658410,26,"Femme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Inactif (ne cherche pas)",2,NA,3,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,0,1,NA,NA,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168659052,27,"Femme","Primaire incomplet",662,"Kaolack",17,"Rural",30,55,"Employé à temps plein",3,NA,0,"A","A - Agriculture, sylviculture et pêche",NA,NA,0,0,1,0,1,NA,NA,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168659053,19,"Homme","Aucun enseignement formel",662,"Kaolack",17,"Rural",30,55,"Employé à temps plein",3,NA,2,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,0,1,0,1,0,3,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168659179,60,"Homme","Enseignement informel/coranique",660,"Diourbel",NA,"Rural",15,38,"Chômeur (cherche un emploi)",NA,NA,3,NA,NA,NA,NA,1,0,0,0,1,0,2,"Fontaine publique",1,"Non",NA,9,2022,"SEN"
168659467,20,"Homme","Aucun enseignement formel",662,"Kaolack",17,"Rural",30,55,"Inactif (ne cherche pas)",0,NA,3,NA,"Non applicable (sans emploi)",NA,NA,1,0,0,0,1,0,2,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168659468,30,"Femme","Aucun enseignement formel",662,"Kaolack",17,"Rural",30,55,"Inactif (ne cherche pas)",0,NA,3,NA,"Non applicable (sans emploi)",NA,NA,1,0,0,0,1,0,2,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168660334,41,"Femme","Enseignement informel/coranique",660,"Kaolack",17,"Rural",30,55,"Employé à temps plein",3,NA,3,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,1,1,1,1,0,5,"Robinet dans la maison",1,"Non",NA,9,2022,"SEN"
168660335,37,"Homme","Primaire incomplet",660,"Kaolack",17,"Rural",30,55,"Employé à temps partiel",3,NA,2,"A","A - Agriculture, sylviculture et pêche",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168660799,41,"Femme","Primaire incomplet",662,"Kaolack",17,"Rural",30,55,"Inactif (ne cherche pas)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168660800,28,"Homme","Secondaire incomplet",661,"Kaolack",17,"Rural",30,55,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",2,9,2022,"SEN"
168664247,48,"Femme","Aucun enseignement formel",660,"Thiès",42,"Urbain",88,123,"Inactif (ne cherche pas)",5,NA,2,"C","C - Industrie manufacturière",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168665714,25,"Homme","Secondaire complet",660,"Thiès",42,"Urbain",88,123,"Employé à temps plein",NA,NA,2,NA,NA,NA,NA,1,1,0,1,1,1,5,"Robinet dans la cour/concession",1,"Oui",2,9,2022,"SEN"
168665715,34,"Femme","Secondaire incomplet",660,"Thiès",42,"Urbain",88,123,"Chômeur (cherche un emploi)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,0,0,1,1,4,"Robinet dans la cour/concession",1,"Oui",4,9,2022,"SEN"
168665717,63,"Homme","Post-secondaire incomplet",660,"Thiès",42,"Urbain",88,123,"Inactif (ne cherche pas)",3,NA,0,"A","A - Agriculture, sylviculture et pêche",NA,NA,0,1,1,1,1,1,5,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168665718,35,"Femme","Primaire incomplet",660,"Thiès",42,"Urbain",88,123,"Inactif (ne cherche pas)",5,NA,3,"C","C - Industrie manufacturière",NA,NA,0,1,0,0,1,0,2,"Robinet dans la maison",1,"Oui",5,9,2022,"SEN"
168666026,52,"Homme","Primaire complet",660,"Thiès",42,"Urbain",88,123,"Inactif (ne cherche pas)",6,NA,2,"O","O - Administration publique et défense",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
168668828,25,"Femme",NA,661,"Thiès",42,"Urbain",88,123,"Inactif (ne cherche pas)",1,NA,2,NA,"Non applicable (étudiant)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la cour/concession",2,"Oui",4,9,2022,"SEN"
168668829,43,"Homme","Primaire complet",661,"Thiès",42,"Urbain",88,123,"Chômeur (cherche un emploi)",6,NA,3,"O","O - Administration publique et défense",NA,NA,0,1,0,0,1,1,3,"Robinet dans la cour/concession",1,"Oui",4,9,2022,"SEN"
168669725,20,"Femme","Secondaire incomplet",665,"Ziguinchor",43,"Rural",91,126,"Inactif (ne cherche pas)",2,NA,2,NA,"Non applicable (femme au foyer)",NA,NA,1,1,1,0,1,1,5,"Robinet dans la cour/concession",1,"Oui",3,9,2022,"SEN"
168669828,21,"Femme",NA,660,"Ziguinchor",43,"Rural",91,126,"Inactif (ne cherche pas)",1,NA,3,NA,"Non applicable (étudiant)",NA,NA,1,1,1,1,1,1,6,"Robinet dans la maison",1,"Oui",4,9,2022,"SEN"
