"id_individu","rep_age","rep_genre","rep_niveau_etudes","rep_langue_domicile","region","departement","milieu","commune","arrondismt","source_eau","assainissement","electricite_acces","electricite_freq","manque_nourriture","manque_eau","manque_soins","manque_combustible","manque_revenus","prive_manque_nourriture","prive_manque_eau","prive_manque_soins","prive_manque_combustible","prive_manque_revenus","indice_privation","groupe_privation","round_afrobarometer","annee_enquete","pays","poids"
168069460,38,"Homme","Primaire incomplet",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",5,0,0,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168069493,37,"Femme","Primaire incomplet",660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",4,0,3,0,2,2,0,1,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168071905,19,"Femme","Aucun enseignement formel",661,"Dakar",2,"Urbain",2,12,"Robinet dans la maison",1,"Oui",4,3,1,2,1,3,1,0,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168071906,42,"Femme",NA,2,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",5,0,2,3,1,1,0,1,1,0,0,2,"Privation modérée (2 types)",9,2022,"SEN",1
168073642,36,"Homme","Primaire incomplet",660,"Dakar",4,"Urbain",4,19,"Robinet dans la maison",1,"Non",NA,0,2,4,0,2,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168073643,30,"Femme","Aucun enseignement formel",660,"Dakar",1,"Rural",1,1,NA,3,"Non",NA,0,3,0,0,3,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168073644,26,"Homme","Secondaire incomplet",660,"Dakar",1,"Rural",1,1,"Robinet dans la maison",3,"Non",NA,0,4,2,0,4,0,1,1,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168092030,47,"Femme","Primaire complet",661,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",4,1,1,2,3,2,0,0,1,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168092031,66,"Homme","Secondaire complet",660,"Dakar",2,"Urbain",2,NA,"Robinet dans la maison",1,"Oui",5,1,2,0,2,2,0,1,0,1,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
168092113,35,"Homme",NA,660,"Dakar",3,"Urbain",3,18,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,"Aucune privation",9,2022,"SEN",1
168092115,40,"Femme","Primaire incomplet",660,"Dakar",3,"Urbain",3,18,"Robinet dans la maison",1,"Oui",2,2,0,3,2,3,1,0,1,1,1,4,"Privation sévère (3+ types)",9,2022,"SEN",1
168095822,28,"Homme",NA,660,"Dakar",3,"Urbain",3,15,"Robinet dans la maison",1,"Oui",5,0,2,1,0,2,0,1,0,0,1,2,"Privation modérée (2 types)",9,2022,"SEN",1
168097630,25,"Homme",NA,660,"Dakar",1,"Urbain",NA,30,"Robinet dans la maison",1,"Oui",5,2,2,0,0,2,1,1,0,0,1,3,"Privation sévère (3+ types)",9,2022,"SEN",1
